epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,14955.6,0.61729,0.41729,0.91279,0.97937,1,0.99467,0.86537,0.58464,0.36473,0.84986,0.0012674,0.0012674,0.0012674
39,15056.4,0.61301,0.41083,0.91396,0.98746,1,0.99489,0.8732,0.60011,0.36981,0.84554,0.0012476,0.0012476,0.0012476
40,15157.6,0.60737,0.41084,0.90239,0.99701,1,0.995,0.8642,0.57266,0.36347,0.84434,0.0012278,0.0012278,0.0012278
41,15258.7,0.59938,0.39602,0.90672,0.98636,1,0.99489,0.89147,0.54218,0.34471,0.83995,0.001208,0.001208,0.001208
42,15361.2,0.58248,0.38903,0.9099,0.98731,1,0.995,0.88628,0.5638,0.34157,0.8468,0.0011882,0.0011882,0.0011882
43,15462.2,0.62196,0.412,0.9092,0.98855,1,0.995,0.8665,0.56458,0.37917,0.84059,0.0011684,0.0011684,0.0011684
44,15562.6,0.60422,0.40218,0.90108,0.98427,0.98876,0.99478,0.8871,0.55344,0.3619,0.84572,0.0011486,0.0011486,0.0011486
45,15662.6,0.6083,0.39099,0.90844,0.99312,0.98876,0.99478,0.88276,0.57259,0.36383,0.84645,0.0011288,0.0011288,0.0011288
46,15764.5,0.55455,0.37026,0.89911,0.9886,1,0.995,0.89754,0.53479,0.33395,0.83509,0.001109,0.001109,0.001109
47,15864.8,0.57279,0.37216,0.89885,0.97643,1,0.99411,0.90954,0.53488,0.33996,0.83388,0.0010892,0.0010892,0.0010892
48,15965,0.57714,0.37652,0.9004,0.98554,1,0.99478,0.88646,0.54671,0.32798,0.8391,0.0010694,0.0010694,0.0010694
49,16066.3,0.55523,0.37,0.88929,0.98884,0.99527,0.99489,0.89572,0.53303,0.32926,0.83682,0.0010496,0.0010496,0.0010496
50,16166.4,0.56195,0.37467,0.89472,0.98436,1,0.99489,0.89945,0.53524,0.33777,0.84155,0.0010298,0.0010298,0.0010298
51,16269.2,0.53676,0.36634,0.88531,0.97672,1,0.99411,0.89701,0.50553,0.32986,0.83171,0.00101,0.00101,0.00101
52,16371.9,0.56654,0.36609,0.89322,0.98517,1,0.99444,0.90316,0.53144,0.33286,0.8401,0.0009902,0.0009902,0.0009902
53,16473.6,0.5656,0.37551,0.90251,0.98515,1,0.99478,0.89794,0.52267,0.33225,0.83865,0.0009704,0.0009704,0.0009704
54,16573.8,0.55564,0.359,0.89598,0.98208,1,0.99478,0.89229,0.55396,0.3398,0.84071,0.0009506,0.0009506,0.0009506
55,16674.8,0.5722,0.37159,0.89915,0.97633,1,0.99433,0.89675,0.56173,0.33295,0.84384,0.0009308,0.0009308,0.0009308
56,16775.4,0.56519,0.36986,0.88665,0.97918,1,0.99467,0.89371,0.57302,0.34582,0.84394,0.000911,0.000911,0.000911
57,16875.6,0.54561,0.3637,0.88142,0.97787,0.9932,0.99467,0.89303,0.52303,0.32745,0.83216,0.0008912,0.0008912,0.0008912
58,16975.6,0.57123,0.36922,0.89604,0.96704,1,0.99456,0.90135,0.52022,0.33044,0.83248,0.0008714,0.0008714,0.0008714
59,17076.8,0.56493,0.36214,0.89266,0.98873,0.98554,0.99478,0.89383,0.54947,0.3355,0.84474,0.0008516,0.0008516,0.0008516
60,17180.6,0.53731,0.3449,0.88698,0.98513,1,0.99478,0.90577,0.50086,0.30782,0.82928,0.0008318,0.0008318,0.0008318
61,17280.8,0.53211,0.34377,0.89282,0.98455,1,0.99478,0.89638,0.51758,0.31358,0.83904,0.000812,0.000812,0.000812
62,17380.5,0.54635,0.344,0.89101,0.98464,1,0.995,0.89565,0.51773,0.31104,0.84339,0.0007922,0.0007922,0.0007922
63,17480,0.5239,0.34239,0.88533,0.9788,1,0.99478,0.90911,0.51047,0.30392,0.83299,0.0007724,0.0007724,0.0007724
64,17580,0.52123,0.3357,0.88782,0.98613,1,0.99478,0.9087,0.52943,0.30628,0.84316,0.0007526,0.0007526,0.0007526
65,17679.9,0.512,0.34315,0.88485,0.98773,1,0.99478,0.88989,0.54086,0.31586,0.84569,0.0007328,0.0007328,0.0007328
66,17779.9,0.52164,0.34373,0.87933,0.9763,1,0.99445,0.90466,0.53785,0.3123,0.84446,0.000713,0.000713,0.000713
67,17880.4,0.52494,0.32605,0.88811,0.97773,0.98683,0.99362,0.89721,0.53464,0.32911,0.83553,0.0006932,0.0006932,0.0006932
68,17980.2,0.54214,0.34331,0.88425,0.97613,1,0.99456,0.90657,0.51063,0.29999,0.84152,0.0006734,0.0006734,0.0006734
69,18082.6,0.51667,0.34034,0.8698,0.98894,0.98876,0.99489,0.90604,0.53487,0.29713,0.84675,0.0006536,0.0006536,0.0006536
70,18182.3,0.51779,0.32939,0.87873,1,0.99978,0.995,0.90599,0.53003,0.30387,0.84085,0.0006338,0.0006338,0.0006338
71,18281.9,0.49604,0.32576,0.87052,0.98577,1,0.995,0.91662,0.50383,0.28572,0.83276,0.000614,0.000614,0.000614
72,18382.7,0.51314,0.32332,0.88223,0.97699,1,0.99467,0.88404,0.57603,0.3031,0.85044,0.0005942,0.0005942,0.0005942
73,18483.3,0.50048,0.31885,0.87841,0.9779,1,0.99467,0.89536,0.53051,0.29388,0.84,0.0005744,0.0005744,0.0005744
74,18583.9,0.49361,0.32004,0.87619,0.98648,1,0.99467,0.90013,0.52561,0.28686,0.84145,0.0005546,0.0005546,0.0005546
75,18684.5,0.49581,0.3215,0.87236,0.98702,1,0.99478,0.89104,0.54823,0.29549,0.84777,0.0005348,0.0005348,0.0005348
76,18788.5,0.49498,0.31873,0.87471,0.98407,1,0.99478,0.90327,0.53532,0.285,0.84135,0.000515,0.000515,0.000515
77,18888.1,0.48029,0.30066,0.86113,0.98618,1,0.99478,0.91244,0.55019,0.2859,0.84653,0.0004952,0.0004952,0.0004952
78,18993.9,0.50279,0.32439,0.87685,0.97618,1,0.99445,0.91118,0.53112,0.28946,0.849,0.0004754,0.0004754,0.0004754
79,19112.9,0.47939,0.31607,0.87783,0.97775,1,0.99467,0.91237,0.52131,0.29175,0.84679,0.0004556,0.0004556,0.0004556
80,19232.5,0.48946,0.30642,0.87245,0.98661,1,0.99489,0.91348,0.51464,0.28235,0.84612,0.0004358,0.0004358,0.0004358
81,19351.4,0.46436,0.30569,0.86473,0.98428,1,0.995,0.91165,0.5248,0.29415,0.8476,0.000416,0.000416,0.000416
82,19470.4,0.4468,0.29779,0.85936,0.98198,1,0.99456,0.91321,0.51229,0.28298,0.83835,0.0003962,0.0003962,0.0003962
83,19589.8,0.47737,0.30652,0.87538,0.97867,1,0.99467,0.91462,0.53932,0.27942,0.84496,0.0003764,0.0003764,0.0003764
84,19709.2,0.47562,0.3051,0.86484,0.9766,1,0.99467,0.90932,0.54157,0.2896,0.85338,0.0003566,0.0003566,0.0003566
85,19829.5,0.48365,0.3082,0.86948,0.9877,1,0.99467,0.92119,0.52824,0.29038,0.85249,0.0003368,0.0003368,0.0003368
86,19951.5,0.48409,0.29763,0.86646,0.979,1,0.99467,0.92477,0.50957,0.27947,0.84555,0.000317,0.000317,0.000317
87,20071.1,0.47217,0.29794,0.8586,0.97717,1,0.99467,0.91885,0.53185,0.2778,0.8482,0.0002972,0.0002972,0.0002972
88,20190.3,0.44683,0.28804,0.8498,0.9771,1,0.99467,0.92121,0.52999,0.2772,0.84806,0.0002774,0.0002774,0.0002774
89,20310.1,0.45017,0.28941,0.86566,0.97739,1,0.99467,0.9227,0.51495,0.2785,0.8487,0.0002576,0.0002576,0.0002576
90,20430.3,0.46073,0.29439,0.86986,0.98184,1,0.99467,0.92426,0.51403,0.27612,0.85085,0.0002378,0.0002378,0.0002378
91,20549.5,0.42424,0.26005,0.82631,0.97625,1,0.99467,0.92133,0.49605,0.27338,0.84545,0.000218,0.000218,0.000218
92,20668.7,0.40263,0.24927,0.81689,0.9761,1,0.99478,0.91162,0.52058,0.27296,0.85232,0.0001982,0.0001982,0.0001982
93,20788.4,0.39371,0.24876,0.82513,0.97601,1,0.99478,0.91491,0.5075,0.26932,0.84818,0.0001784,0.0001784,0.0001784
94,20907.3,0.3995,0.24876,0.83139,0.9831,0.98876,0.99478,0.91242,0.50827,0.26952,0.85132,0.0001586,0.0001586,0.0001586
95,21026.9,0.38395,0.25266,0.83215,0.98325,0.98876,0.99478,0.90849,0.50782,0.26964,0.85072,0.0001388,0.0001388,0.0001388
96,21145.8,0.38411,0.24088,0.83013,0.98554,0.98876,0.99478,0.91016,0.5095,0.26752,0.84911,0.000119,0.000119,0.000119
97,21265.1,0.38519,0.24319,0.82179,0.98735,0.98876,0.99478,0.90724,0.51257,0.26229,0.84972,9.92e-05,9.92e-05,9.92e-05
98,21385.1,0.38573,0.24493,0.82984,0.98701,0.98876,0.99478,0.908,0.50766,0.26378,0.84936,7.94e-05,7.94e-05,7.94e-05
99,21506,0.37943,0.23442,0.82678,0.97585,1,0.99478,0.90774,0.50533,0.26223,0.8479,5.96e-05,5.96e-05,5.96e-05
100,21625,0.37892,0.23633,0.81436,0.97574,1,0.99478,0.9156,0.4999,0.25947,0.84563,3.98e-05,3.98e-05,3.98e-05
