epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.269,1.29045,2.82246,1.25871,0.34885,0.88764,0.8426,0.60598,0.91816,2.87737,0.88205,0.00036,0.00036,0.00036
2,214.573,0.91424,1.35155,1.02641,0.00883,0.91011,0.77366,0.61134,0.82969,2.89436,0.87922,0.000732674,0.000732674,0.000732674
3,319.326,0.89641,1.16127,1.00671,1,0.25,0.6918,0.57623,0.89751,2.76329,0.93463,0.00109782,0.00109782,0.00109782
4,422.041,0.8937,1.10811,1.02392,0.70941,0.38202,0.53069,0.32076,1.0088,2.64873,1.06394,0.00145545,0.00145545,0.00145545
5,526.569,0.85717,1.03322,1.00234,0.85066,0.76804,0.8293,0.70122,0.82369,1.8691,0.97928,0.00180555,0.00180555,0.00180555
6,629.935,0.82265,0.91161,0.97094,0.78341,0.89888,0.89236,0.71046,0.79885,1.52507,0.94777,0.001901,0.001901,0.001901
7,733.263,0.83012,0.83851,0.97247,0.90881,0.95506,0.97302,0.771,0.83475,1.17128,0.96648,0.0018812,0.0018812,0.0018812
8,835.32,0.79986,0.80532,0.96796,0.95505,0.97753,0.99019,0.82181,0.75511,0.95332,0.91349,0.0018614,0.0018614,0.0018614
9,937.326,0.76106,0.74257,0.94276,0.93568,0.98078,0.97822,0.80278,0.69273,1.40614,0.8795,0.0018416,0.0018416,0.0018416
10,1038.75,0.7832,0.7474,0.9858,0.95049,0.95506,0.99017,0.81699,0.70924,0.77092,0.89281,0.0018218,0.0018218,0.0018218
11,1139.2,0.7542,0.69732,0.96326,0.9886,0.97455,0.9911,0.82441,0.71877,0.8537,0.90136,0.001802,0.001802,0.001802
12,1239.6,0.75672,0.68089,0.96072,0.98845,0.96159,0.99277,0.82636,0.71216,0.68133,0.88609,0.0017822,0.0017822,0.0017822
13,1339.76,0.75051,0.63089,0.94395,0.97774,0.98707,0.99286,0.82753,0.70187,0.66286,0.89433,0.0017624,0.0017624,0.0017624
14,1440.12,0.77618,0.63425,0.9576,0.94272,0.98876,0.99123,0.80016,0.8029,0.70308,0.91598,0.0017426,0.0017426,0.0017426
15,12598.3,0.75323,0.61806,0.95682,0.95604,0.9775,0.99171,0.80354,0.77091,0.62552,0.88936,0.0017228,0.0017228,0.0017228
16,12714.1,0.71534,0.56893,0.9391,0.96453,1,0.99379,0.84614,0.66158,0.554,0.86616,0.001703,0.001703,0.001703
17,12814.3,0.70428,0.5611,0.95243,0.95478,1,0.99357,0.8277,0.6954,0.58439,0.88657,0.0016832,0.0016832,0.0016832
18,12920.6,0.71758,0.56077,0.9394,0.96727,1,0.99434,0.8226,0.7144,0.57462,0.89435,0.0016634,0.0016634,0.0016634
19,13023.2,0.72768,0.5668,0.95897,0.97841,0.98876,0.99445,0.84309,0.63832,0.50593,0.88088,0.0016436,0.0016436,0.0016436
20,13125.1,0.69646,0.53683,0.94317,0.9823,0.98876,0.99478,0.85324,0.63488,0.46842,0.87291,0.0016238,0.0016238,0.0016238
21,13227.2,0.70492,0.5253,0.93838,0.9873,1,0.99467,0.83438,0.65383,0.46632,0.87669,0.001604,0.001604,0.001604
22,13329.2,0.68922,0.51086,0.93186,0.97413,0.98876,0.99321,0.86551,0.61442,0.48389,0.85287,0.0015842,0.0015842,0.0015842
23,13432,0.67084,0.47958,0.92411,0.98778,1,0.99389,0.83782,0.72743,0.4846,0.87699,0.0015644,0.0015644,0.0015644
24,13534.1,0.68646,0.48226,0.92036,0.99632,0.98876,0.99467,0.85468,0.658,0.46928,0.87445,0.0015446,0.0015446,0.0015446
25,13635.3,0.67265,0.49195,0.93619,0.99323,0.96629,0.99392,0.84647,0.62346,0.44737,0.86217,0.0015248,0.0015248,0.0015248
26,13736.5,0.68741,0.47512,0.94435,0.99457,0.96629,0.99403,0.86307,0.61158,0.45693,0.85351,0.001505,0.001505,0.001505
27,13837.8,0.65463,0.46142,0.92408,0.95536,1,0.99358,0.85534,0.61271,0.46756,0.85659,0.0014852,0.0014852,0.0014852
28,13939,0.63011,0.44285,0.90642,0.95696,0.9992,0.99381,0.85921,0.6118,0.42394,0.86121,0.0014654,0.0014654,0.0014654
29,14040.5,0.63715,0.45031,0.91366,0.98633,1,0.99422,0.8632,0.5986,0.41694,0.85898,0.0014456,0.0014456,0.0014456
30,14141.8,0.67514,0.45093,0.92925,0.97568,1,0.99433,0.85978,0.60931,0.40416,0.85426,0.0014258,0.0014258,0.0014258
31,14243.4,0.66879,0.45737,0.92673,0.97686,1,0.99467,0.86282,0.60971,0.40898,0.85561,0.001406,0.001406,0.001406
32,14344.7,0.64978,0.45838,0.92429,0.98566,1,0.99456,0.85433,0.61118,0.40887,0.85051,0.0013862,0.0013862,0.0013862
33,14448.4,0.61793,0.43486,0.92239,0.99003,0.97753,0.99467,0.88305,0.55563,0.37174,0.84426,0.0013664,0.0013664,0.0013664
34,14550,0.62532,0.44393,0.92271,0.97791,0.99472,0.99456,0.86075,0.56855,0.38094,0.85368,0.0013466,0.0013466,0.0013466
35,14650.7,0.67567,0.44236,0.92408,0.98307,0.98876,0.99445,0.87474,0.58422,0.37846,0.85255,0.0013268,0.0013268,0.0013268
36,14752.5,0.64542,0.43983,0.92726,0.98884,0.99553,0.99467,0.87413,0.5768,0.37274,0.84771,0.001307,0.001307,0.001307
37,14854.4,0.63754,0.43477,0.92576,0.98849,1,0.99478,0.88093,0.56526,0.37323,0.84347,0.0012872,0.0012872,0.0012872
