epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6429,1.68271,3.59208,1.59292,0.00632,0.91139,0.22643,0.15952,1.0213,3.3141,0.97289,0.00014,0.00014,0.00014
2,80.757,0.88949,2.33192,1.00434,0.00675,0.97468,0.85105,0.67776,0.85102,2.89957,0.87548,0.00029703,0.00029703,0.00029703
3,118.375,0.85676,1.37282,1.03592,1,0.49118,0.76645,0.63557,0.84633,2.75719,0.88247,0.000450892,0.000450892,0.000450892
4,153.697,0.80365,1.18633,0.9961,1,0.43516,0.68545,0.5661,0.82072,2.7977,0.86788,0.000601586,0.000601586,0.000601586
5,186.831,0.81932,1.15678,0.992,0.86028,0.38975,0.50545,0.39979,0.77134,2.93269,0.87275,0.000749112,0.000749112,0.000749112
6,220.089,0.79966,1.10682,0.97106,1,0.3357,0.40724,0.33942,0.84025,2.98707,0.91874,0.00089347,0.00089347,0.00089347
7,253.325,0.80874,1.15089,0.9965,1,0.41936,0.7047,0.57639,0.79895,2.75197,0.88934,0.00103466,0.00103466,0.00103466
8,286.447,0.80425,1.07718,0.96871,1,0.44134,0.74124,0.64714,0.76784,2.50503,0.84749,0.00117268,0.00117268,0.00117268
9,319.74,0.80471,1.03294,0.99949,0.93396,0.64557,0.77174,0.66785,0.72511,2.18969,0.84308,0.00130754,0.00130754,0.00130754
10,354.373,0.7945,1.05042,1.00179,0.98108,0.36709,0.50833,0.43906,0.72728,2.48012,0.85452,0.00143922,0.00143922,0.00143922
11,387.494,0.75575,1.00135,0.97791,0.94323,0.88608,0.94465,0.7612,0.74083,1.73911,0.85491,0.00156774,0.00156774,0.00156774
12,420.659,0.80649,0.97994,0.98707,0.88708,0.73418,0.8571,0.73016,0.77068,1.69357,0.90364,0.00169309,0.00169309,0.00169309
13,454.055,0.74479,0.87224,0.96591,0.84651,0.86076,0.88504,0.74099,0.72183,1.63818,0.90498,0.0017624,0.0017624,0.0017624
14,487.295,0.75296,0.87113,0.96328,0.99665,0.82278,0.9142,0.76249,0.71681,1.50636,0.90208,0.0017426,0.0017426,0.0017426
15,520.421,0.72103,0.85946,0.97178,0.98472,0.81592,0.93568,0.79314,0.66839,1.19581,0.89509,0.0017228,0.0017228,0.0017228
16,553.613,0.72692,0.8046,0.96197,0.95947,0.96203,0.98498,0.80668,0.71138,1.06483,0.89083,0.001703,0.001703,0.001703
17,586.745,0.72404,0.77085,0.94553,0.9835,0.98734,0.99338,0.85089,0.7057,0.93633,0.87909,0.0016832,0.0016832,0.0016832
18,620.355,0.69946,0.806,0.9398,0.97259,0.98734,0.9927,0.83435,0.67286,0.90212,0.85708,0.0016634,0.0016634,0.0016634
19,653.259,0.74368,0.83485,0.96481,1,0.999,0.995,0.83552,0.65597,0.81886,0.86053,0.0016436,0.0016436,0.0016436
20,686.51,0.71917,0.81889,0.96245,0.97373,1,0.99361,0.82146,0.62441,0.80539,0.86061,0.0016238,0.0016238,0.0016238
21,719.796,0.68946,0.76014,0.93795,0.98661,0.98734,0.99299,0.84292,0.63382,0.86927,0.858,0.001604,0.001604,0.001604
22,752.867,0.66608,0.70804,0.93112,0.98476,0.98734,0.99375,0.84144,0.59672,0.80112,0.84429,0.0015842,0.0015842,0.0015842
23,785.749,0.65496,0.70031,0.92912,0.99857,0.98734,0.99488,0.8579,0.57845,0.76644,0.84451,0.0015644,0.0015644,0.0015644
24,818.799,0.67383,0.70741,0.93667,0.99399,0.97468,0.99438,0.85642,0.58082,0.76464,0.86568,0.0015446,0.0015446,0.0015446
25,851.64,0.68675,0.68932,0.94322,1,0.97787,0.99452,0.85604,0.58424,0.69757,0.832,0.0015248,0.0015248,0.0015248
26,884.527,0.672,0.68281,0.94524,0.99819,0.98734,0.99463,0.85715,0.57732,0.70799,0.82718,0.001505,0.001505,0.001505
27,917.425,0.70089,0.71108,0.97132,0.98412,0.98734,0.99325,0.8472,0.5906,0.70418,0.84975,0.0014852,0.0014852,0.0014852
28,950.817,0.65168,0.62904,0.917,0.95431,0.98734,0.99035,0.83444,0.65447,0.70116,0.86406,0.0014654,0.0014654,0.0014654
29,983.788,0.69531,0.64817,0.96667,0.98453,0.97468,0.99289,0.86025,0.63219,0.67707,0.85845,0.0014456,0.0014456,0.0014456
30,1016.57,0.60867,0.59679,0.93041,0.99333,0.96203,0.99389,0.85785,0.59692,0.70819,0.83923,0.0014258,0.0014258,0.0014258
31,1049.43,0.67095,0.62056,0.96999,0.98748,0.99877,0.99437,0.86928,0.58288,0.66517,0.82599,0.001406,0.001406,0.001406
32,1082.31,0.62086,0.59949,0.91836,0.98041,1,0.99475,0.86804,0.61215,0.62184,0.83612,0.0013862,0.0013862,0.0013862
33,1115.15,0.64893,0.60339,0.92773,0.981,1,0.995,0.87291,0.54021,0.57757,0.82576,0.0013664,0.0013664,0.0013664
34,1148,0.62398,0.57331,0.92598,0.97685,1,0.99475,0.86142,0.61167,0.57279,0.84576,0.0013466,0.0013466,0.0013466
35,1180.82,0.63281,0.57123,0.90734,0.97887,0.98734,0.99451,0.85933,0.56378,0.56271,0.83026,0.0013268,0.0013268,0.0013268
36,1213.72,0.64208,0.56044,0.92597,0.96076,1,0.99141,0.83807,0.64846,0.59618,0.85257,0.001307,0.001307,0.001307
37,1246.9,0.62733,0.57095,0.92942,0.98254,1,0.98962,0.84313,0.60898,0.59018,0.83483,0.0012872,0.0012872,0.0012872
