epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1279.67,0.66135,0.57701,0.93933,0.98603,1,0.994,0.86485,0.55887,0.56613,0.82401,0.0012674,0.0012674,0.0012674
39,1312.44,0.61319,0.55063,0.92628,0.98721,1,0.99462,0.85923,0.58381,0.54815,0.82386,0.0012476,0.0012476,0.0012476
40,1345.19,0.61416,0.51903,0.9251,0.97275,1,0.99412,0.84787,0.5694,0.55422,0.81904,0.0012278,0.0012278,0.0012278
41,1377.94,0.61559,0.53302,0.91886,0.96105,1,0.9894,0.83114,0.61449,0.58308,0.83838,0.001208,0.001208,0.001208
42,1410.72,0.64645,0.56932,0.93629,0.96047,1,0.99273,0.85007,0.62433,0.54817,0.83303,0.0011882,0.0011882,0.0011882
43,1443.68,0.63067,0.5494,0.91929,0.96051,1,0.99151,0.8503,0.56523,0.51295,0.82026,0.0011684,0.0011684,0.0011684
44,1476.5,0.62579,0.52258,0.92318,0.96299,0.98823,0.98699,0.83066,0.6259,0.54169,0.84409,0.0011486,0.0011486,0.0011486
45,1509.72,0.60336,0.51479,0.91046,0.94877,1,0.99187,0.84799,0.57563,0.48894,0.82595,0.0011288,0.0011288,0.0011288
46,1542.46,0.64929,0.51618,0.93747,0.9633,0.9969,0.99364,0.86969,0.58903,0.49617,0.83009,0.001109,0.001109,0.001109
47,1575.32,0.61185,0.50985,0.9331,0.98247,0.98734,0.99438,0.88388,0.52738,0.46557,0.82259,0.0010892,0.0010892,0.0010892
48,1608.05,0.59482,0.48049,0.90213,0.97332,1,0.99399,0.86535,0.55646,0.48065,0.82684,0.0010694,0.0010694,0.0010694
49,1640.79,0.58898,0.49013,0.91535,0.9832,1,0.99412,0.87688,0.52537,0.45559,0.81824,0.0010496,0.0010496,0.0010496
50,1673.58,0.58469,0.48188,0.92189,0.98543,1,0.99437,0.88904,0.50501,0.44568,0.81234,0.0010298,0.0010298,0.0010298
51,1706.34,0.59398,0.51686,0.93088,0.98492,1,0.994,0.90262,0.51182,0.42882,0.81081,0.00101,0.00101,0.00101
52,1739.08,0.60184,0.48455,0.92741,0.98465,1,0.99375,0.89153,0.5366,0.45078,0.81361,0.0009902,0.0009902,0.0009902
53,1771.82,0.62596,0.50541,0.92861,0.98428,1,0.99375,0.89098,0.54106,0.45815,0.81644,0.0009704,0.0009704,0.0009704
54,1804.73,0.56934,0.46021,0.90657,0.98168,1,0.9935,0.88093,0.55375,0.4417,0.82028,0.0009506,0.0009506,0.0009506
55,1837.46,0.59931,0.48184,0.90928,0.98426,1,0.99312,0.8711,0.59232,0.46617,0.82578,0.0009308,0.0009308,0.0009308
56,1870.27,0.58332,0.46227,0.92106,0.9826,1,0.99187,0.85719,0.60581,0.47562,0.83257,0.000911,0.000911,0.000911
57,1903.17,0.57175,0.4466,0.90349,0.98365,1,0.9935,0.87778,0.59877,0.46257,0.83046,0.0008912,0.0008912,0.0008912
58,1936.09,0.55084,0.45331,0.8968,0.98459,1,0.994,0.87607,0.60639,0.44773,0.83092,0.0008714,0.0008714,0.0008714
59,1970.94,0.58732,0.45221,0.90706,0.97271,1,0.99425,0.88003,0.56242,0.42697,0.81871,0.0008516,0.0008516,0.0008516
60,2004.23,0.58487,0.46568,0.91031,0.96952,1,0.99425,0.87676,0.57318,0.43414,0.81552,0.0008318,0.0008318,0.0008318
61,2037.51,0.54209,0.43936,0.88959,0.97417,0.98734,0.99451,0.88057,0.57082,0.42442,0.81567,0.000812,0.000812,0.000812
62,2070.45,0.53791,0.4488,0.89513,0.97522,0.99643,0.99425,0.89072,0.57142,0.41251,0.81775,0.0007922,0.0007922,0.0007922
63,2103.42,0.53673,0.43901,0.88106,0.98627,1,0.99312,0.88876,0.54518,0.39739,0.81537,0.0007724,0.0007724,0.0007724
64,2136.35,0.52681,0.43244,0.89008,0.98326,1,0.99287,0.88302,0.53002,0.40181,0.8147,0.0007526,0.0007526,0.0007526
65,2169.36,0.52981,0.40858,0.87919,0.98374,1,0.992,0.88976,0.52764,0.41728,0.82071,0.0007328,0.0007328,0.0007328
66,2202.28,0.52649,0.42991,0.89471,0.98435,1,0.99175,0.89338,0.5351,0.42915,0.8245,0.000713,0.000713,0.000713
67,2235.32,0.53701,0.42087,0.88727,0.98549,1,0.99237,0.89374,0.50148,0.41358,0.81777,0.0006932,0.0006932,0.0006932
68,2268.43,0.52425,0.40462,0.89898,0.98419,1,0.993,0.90354,0.50704,0.38974,0.81467,0.0006734,0.0006734,0.0006734
69,2301.43,0.58445,0.44156,0.90087,0.98409,1,0.99338,0.89899,0.51081,0.40358,0.81607,0.0006536,0.0006536,0.0006536
70,2334.27,0.52051,0.39817,0.86361,0.98413,1,0.99412,0.88368,0.49163,0.38686,0.80881,0.0006338,0.0006338,0.0006338
71,2367.47,0.54008,0.41052,0.90393,0.9833,1,0.99425,0.87647,0.52024,0.37657,0.81236,0.000614,0.000614,0.000614
72,2400.31,0.49974,0.39269,0.88602,0.98547,1,0.99425,0.88185,0.51861,0.38339,0.81201,0.0005942,0.0005942,0.0005942
73,2433.65,0.53168,0.41619,0.91533,0.98501,1,0.99412,0.88452,0.51972,0.38955,0.80987,0.0005744,0.0005744,0.0005744
74,2466.54,0.48215,0.38186,0.87888,0.98522,1,0.99425,0.8945,0.51283,0.382,0.80798,0.0005546,0.0005546,0.0005546
75,2499.99,0.53695,0.42402,0.89789,0.98749,0.99941,0.99462,0.89141,0.51112,0.36805,0.80787,0.0005348,0.0005348,0.0005348
76,2533.03,0.49428,0.39655,0.89275,0.98433,1,0.99462,0.88002,0.49579,0.37502,0.80735,0.000515,0.000515,0.000515
77,2566.07,0.50844,0.38817,0.88257,0.9859,1,0.99462,0.88673,0.49804,0.37162,0.81104,0.0004952,0.0004952,0.0004952
78,2598.99,0.51807,0.38276,0.88615,0.98591,1,0.99475,0.88801,0.50645,0.37556,0.81124,0.0004754,0.0004754,0.0004754
79,2631.77,0.56247,0.45828,0.91621,0.98535,1,0.99462,0.89405,0.49371,0.37029,0.81156,0.0004556,0.0004556,0.0004556
80,2664.69,0.48118,0.39323,0.87076,0.98687,1,0.99437,0.88342,0.48397,0.36096,0.80826,0.0004358,0.0004358,0.0004358
81,2697.76,0.47844,0.3764,0.87625,0.9735,1,0.99425,0.89045,0.4791,0.359,0.80866,0.000416,0.000416,0.000416
82,2730.66,0.49638,0.38934,0.8912,0.97529,0.9991,0.99425,0.89962,0.48273,0.3601,0.8057,0.0003962,0.0003962,0.0003962
83,2763.69,0.45398,0.36148,0.85899,0.97527,0.99851,0.99425,0.89179,0.49357,0.37067,0.80348,0.0003764,0.0003764,0.0003764
84,2796.48,0.46215,0.35551,0.8779,0.97459,1,0.9945,0.88126,0.50547,0.36803,0.80954,0.0003566,0.0003566,0.0003566
85,2829.33,0.47936,0.36447,0.86608,0.98747,0.99754,0.99462,0.88053,0.50993,0.36925,0.81298,0.0003368,0.0003368,0.0003368
86,2862.17,0.48824,0.37426,0.86916,0.98748,0.9986,0.99437,0.88827,0.49982,0.36548,0.80878,0.000317,0.000317,0.000317
87,2895.29,0.48652,0.36524,0.87633,0.98749,0.99921,0.99437,0.88949,0.49437,0.35992,0.80788,0.0002972,0.0002972,0.0002972
88,2928.04,0.50854,0.36853,0.90439,0.98749,0.99929,0.99425,0.8987,0.48041,0.35324,0.8089,0.0002774,0.0002774,0.0002774
89,2960.82,0.47164,0.36708,0.86702,0.98749,0.99915,0.99437,0.90689,0.46424,0.34821,0.80931,0.0002576,0.0002576,0.0002576
90,2993.57,0.49565,0.37797,0.87718,0.98748,0.99858,0.99437,0.90144,0.455,0.34289,0.80906,0.0002378,0.0002378,0.0002378
91,3026.14,0.41833,0.33205,0.83237,0.98748,0.99843,0.99425,0.90017,0.45466,0.33667,0.8107,0.000218,0.000218,0.000218
92,3058.5,0.42635,0.33378,0.84992,0.98748,0.9984,0.99425,0.90586,0.4621,0.33767,0.80858,0.0001982,0.0001982,0.0001982
93,3092.58,0.40935,0.32389,0.82385,0.98748,0.99847,0.99412,0.90864,0.48092,0.345,0.80696,0.0001784,0.0001784,0.0001784
94,3125.06,0.41741,0.32631,0.84123,0.98748,0.99858,0.994,0.90846,0.49759,0.34259,0.80558,0.0001586,0.0001586,0.0001586
95,3157.58,0.4285,0.33131,0.83914,0.98749,0.99921,0.994,0.90674,0.50794,0.33974,0.80593,0.0001388,0.0001388,0.0001388
96,3190.1,0.41515,0.31351,0.82972,0.98675,1,0.99412,0.90614,0.50838,0.33802,0.80597,0.000119,0.000119,0.000119
97,3222.6,0.40883,0.32271,0.82856,0.98614,1,0.99412,0.90109,0.50296,0.33645,0.80519,9.92e-05,9.92e-05,9.92e-05
98,3255.07,0.40618,0.31031,0.82079,0.98582,1,0.99412,0.90196,0.49504,0.33671,0.80396,7.94e-05,7.94e-05,7.94e-05
99,3287.63,0.37906,0.3052,0.83534,0.98587,1,0.99425,0.90176,0.49276,0.33774,0.80398,5.96e-05,5.96e-05,5.96e-05
100,3320.47,0.38291,0.31219,0.81847,0.98604,1,0.99425,0.90462,0.48919,0.33886,0.8033,3.98e-05,3.98e-05,3.98e-05
