epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.56588,1.49956,3.13688,1.44657,0.00659,0.96512,0.6375,0.45887,0.97699,2.86067,0.92391,0.00034,0.00034,0.00034
2,16.3997,0.86294,1.34144,1.01441,0.00643,0.94186,0.5547,0.46773,0.89454,2.99256,0.93368,0.00069307,0.00069307,0.00069307
3,24.2818,0.85801,1.17128,1.00986,0.89656,0.44186,0.48413,0.37781,0.84677,2.67766,0.89851,0.00103901,0.00103901,0.00103901
4,32.079,0.81956,1.06055,0.99823,0.73444,0.65116,0.79055,0.66264,0.80692,2.28201,0.93879,0.00137783,0.00137783,0.00137783
5,39.8462,0.81668,1.03493,0.98327,0.72301,0.75581,0.79681,0.6649,0.83603,1.94896,0.97499,0.00170951,0.00170951,0.00170951
6,47.6669,0.81569,0.97778,1.00175,0.77396,0.68605,0.78275,0.665,0.7215,1.8363,0.91508,0.001901,0.001901,0.001901
7,55.4181,0.77592,0.87216,0.98261,0.85785,0.77907,0.87337,0.74538,0.7425,1.61428,0.93765,0.0018812,0.0018812,0.0018812
8,63.2741,0.80485,0.85497,0.98631,0.94032,0.94186,0.96705,0.78835,0.7661,1.27884,0.93681,0.0018614,0.0018614,0.0018614
9,71.0004,0.7686,0.79125,0.97685,0.93562,0.9186,0.9596,0.83354,0.64853,1.00438,0.90361,0.0018416,0.0018416,0.0018416
10,78.7657,0.73882,0.76144,0.97536,0.95067,0.98837,0.99218,0.82696,0.6894,0.69181,0.89296,0.0018218,0.0018218,0.0018218
11,86.481,0.72248,0.71328,0.94994,0.96337,0.98837,0.99304,0.85016,0.61798,0.6666,0.86735,0.001802,0.001802,0.001802
12,94.2263,0.71408,0.69517,0.97558,1,0.9265,0.97226,0.84885,0.62475,0.85997,0.87601,0.0017822,0.0017822,0.0017822
13,101.96,0.70213,0.65496,0.94512,0.9835,0.60465,0.85878,0.71885,0.75154,1.47204,0.92848,0.0017624,0.0017624,0.0017624
14,109.733,0.70525,0.65382,0.94987,0.95502,0.9876,0.99225,0.84405,0.64648,0.61672,0.88367,0.0017426,0.0017426,0.0017426
15,117.479,0.68863,0.61096,0.95784,0.98721,0.98837,0.99308,0.84099,0.60635,0.51999,0.86958,0.0017228,0.0017228,0.0017228
16,125.261,0.67078,0.60311,0.95371,0.9195,0.92973,0.97568,0.85894,0.57358,0.65139,0.85225,0.001703,0.001703,0.001703
17,133.233,0.67133,0.58824,0.93945,0.96176,1,0.99071,0.86296,0.55835,0.63698,0.85349,0.0016832,0.0016832,0.0016832
18,141.155,0.64574,0.54146,0.9297,0.98818,0.97254,0.97753,0.86133,0.59385,0.8922,0.85801,0.0016634,0.0016634,0.0016634
